file,Playing bitrate _audio,Playing bitrate _video,Playing/Buffering vmaf,Buffering bitrate _audio,Buffering bitrate _video,Buffer size in Bytes _audio,Buffer size in Bytes _video,Buffer size in Bytes,Buffer size in Seconds _audio,Buffer size in Seconds _video,Framerate,Current Dropped Frames,Total Frames,Total Dropped Frames,Total Corrupted Frames,Total Frame Delay,Throughput
./Netflix_Screen_Capture\2021-03-21_15-22-12.848.jpeg,3840,2160, 97/100,192 , 17857,3917865 , 88783922, 92701787,152.560 , 122.514, 23.976, 0, 835, 1, 0, 322, 26093 kbps
./Netflix_Screen_Capture\2021-03-21_15-22-22.785.jpeg,3840,2160, 98/100,192 , 17857,3917865 , 117929360, 121847225,158.350 , 131.990, 23.976, 0, 1080, 1, 0, 322, 27855 kbps
./Netflix_Screen_Capture\2021-03-21_15-22-32.791.jpeg,3840,2160, 98/100,192 , 17857,3917865 , 150226302, 154144167,148.140 , 134.793, 23.976, 0, 1322, 1, 0, 322, 28347 kbps
./Netflix_Screen_Capture\2021-03-21_15-22-42.807.jpeg,3840,2160, 98/100,192 , 17857,3917865 , 163105156, 167023021,154.013 , 132.767, 23.976, 0, 1568, 1, 0, 322,
./Netflix_Screen_Capture\2021-03-21_15-22-52.795.jpeg,3840,2160, 98/100,192 , 17857,4309261 , 202161475, 206470736,160.862 , 138.548, 23.976, 0, 1785, 1, 0, 322,
./Netflix_Screen_Capture\2021-03-21_15-23-02.774.jpeg,3840,2160, 99/100,192 , 17857,4310042 , 238138932, 242448974,166.675 , 144.219, 23.976, 0, 2026, 1, 0, 322,
./Netflix_Screen_Capture\2021-03-21_15-23-12.776.jpeg,3840,2160, 99/100,192 , 17857,3917865 , 234044940, 237962805,156.456 , 134.000, 23.976, 0, 2276, 1, 0, 322,
./Netflix_Screen_Capture\2021-03-21_15-23-22.789.jpeg,3840,2160, 99/100,192 , 17857,4309261 , 288781193, 293090454,162.261 , 146.286, 23.976, 0, 2523, 1, 0, 322, 27050 kbps
./Netflix_Screen_Capture\2021-03-21_15-23-32.782.jpeg,3840,2160, 99/100,192 , 17857,4701438 , 311792337, 316493775,184.109 , 148.031, 23.976, 0, 2767, 1, 0, 322, 26809 kbps
./Netflix_Screen_Capture\2021-03-21_15-23-42.791.jpeg,3840,2160, 99/100,192 , 17857,4309261 , 300249864, 304559125,174.959 , 138.881, 23.976, 0, 2983, 1, 0, 322, 25887 kbps
